"words","Outbreak","Emotional.Effect","Symptom","Hospital.Related","Immune.Reaction","Disease.Relations","Policy","Psychological.Problem","Analysis.of.Transmission","Cardiovascular.System","Protective.Equipment","Anosmia","Respiratory.System","Treatment","Diagnosis","Virus.Analysis","Virus.Defense.Mechanism","Literature.Analysis","Microbiome.","Immune.System"
"auc",0.00233173,9.76e-08,0.000211968,0.000142258,0.000321836,3.9e-08,0.00774818,1.01e-07,8.35e-08,6.75e-08,3.03e-06,4.77e-08,5.81e-08,0.00048683,4.89e-08,0.000851712,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"aureu",8.42e-08,9.76e-08,0.00254215,3.23e-08,2.16e-08,0.000113205,1.51e-07,1.01e-07,8.35e-08,0.00024307,3e-08,4.77e-08,5.81e-08,0.000230184,4.89e-08,0.000191738,8.7e-08,0.000463059,4.04e-08,9.11e-08
"autodock",8.42e-08,0.00186481,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,0.000113278,9.11e-08
"autopsi",0.000446211,9.76e-08,1.32e-07,6.79e-05,2.16e-08,0.000253687,1.51e-07,1.01e-07,0.00122727,0.00278785,0.0001438,4.77e-08,5.81e-08,0.000628427,4.89e-08,3.14e-08,8.7e-08,7.12e-08,0.000703729,9.11e-08
"averag",0.00315664,0.000166067,0.00168157,0.00156774,2.16e-08,3.9e-08,0.00125373,0.00031187,0.00010861,0.000472573,0.00119811,0.00233727,0.0108929,0.000885072,0.00213316,0.00536153,0.000878543,0.00274238,0.000663287,0.000501045
"azithromycin",0.000160016,0.00125951,2.66e-05,3.23e-08,0.00134775,0.000417583,1.51e-07,1.01e-07,8.35e-08,0.000695326,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000546867,0.00914125,7.12e-08,4.04e-08,9.11e-08
"b-cell",8.42e-08,0.000263696,1.32e-07,3.23e-08,0.000164168,0.000179544,1.51e-07,1.01e-07,0.000192092,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,0.00224072
"behavior",8.42e-08,0.00101544,0.00160214,0.000278018,2.16e-08,0.000437094,1.51e-07,1.01e-07,0.000843251,6.75e-08,0.00474744,0.0040878,0.00281038,8.85e-08,0.00995619,0.000572009,8.7e-08,0.000755098,0.000776525,9.11e-08
"behaviour",8.42e-08,0.000312511,0.000953391,3.23e-08,2.16e-08,3.9e-08,1.51e-07,0.000673925,0.000300618,0.000155319,0.00303118,0.00251376,0.000923283,8.85e-08,0.00417331,3.14e-08,8.7e-08,0.000384707,0.000303355,9.11e-08
"belief",5.06e-05,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.91e-05,1.51e-07,1.01e-07,8.43e-06,6.75e-08,0.000670957,0.00129268,0.000185864,8.85e-08,0.00252455,3.14e-08,0.000252317,9.98e-05,4.04e-08,9.11e-08
"betacoronaviru",8.42e-08,0.00141572,1.32e-07,3.23e-08,0.000259201,0.00020686,1.51e-07,1.01e-07,0.000576109,6.75e-08,3e-08,4.77e-08,5.23e-05,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,0.000869541,0.00333371
"betacoronavirus",8.42e-08,0.000156304,1.32e-07,3.23e-08,2.16e-08,0.000105401,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,0.000116187,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,0.00224072
"bind",8.42e-08,0.0201703,0.000873952,3.23e-08,2.16e-08,0.00230629,1.51e-07,1.01e-07,0.000910036,0.00124883,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000226308,8.7e-08,7.12e-08,0.000784613,0.00868937
"bioactiv",8.42e-08,0.0032902,0.00268779,3.23e-08,2.16e-08,0.000636111,1.51e-07,1.01e-07,0.000417493,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,6.38e-05
"biochem",0.000185269,0.00144501,0.00120494,3.23e-08,0.00128728,0.000643915,0.00342861,0.000342041,0.000542716,6.75e-08,0.000104862,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000342589,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"biomark",0.000261026,9.76e-08,0.00161538,3.23e-08,0.00176244,0.00213068,0.00797473,1.01e-07,0.000500975,0.00178884,3e-08,0.000419794,5.81e-08,0.000725775,0.000269134,0.000386588,0.000382781,7.12e-08,4.04e-08,0.000610345
"biorxiv",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,0.00215232,0.000467582,6.75e-08,3e-08,4.77e-08,5.81e-08,0.00046913,4.89e-08,0.000135169,6.1e-05,7.12e-08,4.04e-08,9.11e-08
"biosensor",8.42e-08,9.76e-08,0.002092,3.23e-08,2.16e-08,7.81e-05,4.55e-05,1.01e-07,8.35e-08,6.75e-08,3e-08,0.000214691,5.81e-08,0.000672676,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,7.3e-05
"brainstem",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,0.00187843,0.00021607,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,0.000217527,2.86e-05,8.09e-05,9.11e-08
"bronchogram",0.00238223,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000100599,1.75e-05,7.12e-08,4.04e-08,9.11e-08
"bun",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,0.00182766,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,9.75e-05,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"c-index",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,0.00237138,1.01e-07,8.35e-08,6.75e-08,3e-08,7.16e-05,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"calibr",8.42e-08,9.76e-08,0.000185488,3.23e-08,0.000168488,3.9e-08,0.0024469,1.01e-07,8.35e-08,6.75e-08,3e-08,0.0005295,0.0003078,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"candida",8.42e-08,9.76e-08,0.00199933,3.23e-08,2.16e-08,3.9e-08,1.53e-05,1.01e-07,8.35e-08,0.00018907,3e-08,4.77e-08,5.81e-08,0.000318683,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"carbon",8.42e-08,9.76e-08,0.00345569,3.23e-08,0.000380151,0.000202958,1.51e-07,1.01e-07,8.35e-08,0.00018907,3e-08,0.00119728,0.000656186,8.85e-08,4.89e-08,3.14e-08,8.7e-08,0.00071236,4.04e-08,9.11e-08
"cardiac",8.42e-08,0.000283222,1.32e-07,0.00182957,0.00268684,0.00116682,0.00315675,0.00168969,0.00113544,0.0198588,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.00342247,0.00527082,7.12e-08,0.00062689,9.11e-08
"cardiovascular",8.42e-08,9.76e-08,0.000463522,0.000911567,2.16e-08,0.00412085,1.51e-07,0.000875067,8.35e-08,0.0139795,0.000973473,0.000214691,0.000400703,8.85e-08,0.000543111,0.00528296,0.00150477,7.12e-08,0.00296847,9.11e-08
"catalyt",8.42e-08,0.00246035,0.000423803,3.23e-08,2.16e-08,0.000113205,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"caus",0.000690317,0.00388574,0.00278047,0.000921264,2.16e-08,0.0060915,1.51e-07,0.00165952,0.00432445,0.00596714,0.00233629,0.0021751,0.00205554,0.00280549,0.00121827,0.00383417,0.00351391,0.000869064,0.0115219,0.0055197
"cd3",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,0.000452704,0.0024771,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000575151,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"cd4",8.42e-08,9.76e-08,1.32e-07,3.23e-08,0.000725723,0.0014712,0.0101798,1.01e-07,0.00102691,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,1.26e-05,8.7e-08,7.12e-08,4.04e-08,0.00172155
"cd8",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,0.00168582,0.00705342,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000810856,8.7e-08,7.12e-08,4.04e-08,0.000838051
"center",0.000942842,0.000361325,0.000582679,0.0103792,0.00642982,3.9e-08,0.00367027,1.01e-07,0.00294699,0.00224784,0.00548725,0.000939707,0.00386715,0.00299133,0.00168795,0.00305791,0.00338345,0.00346892,0.00124161,0.00103843
"centr",8.42e-08,9.76e-08,1.32e-07,0.00341021,0.000425507,3.9e-08,1.51e-07,1.01e-07,0.00120222,0.000870828,0.00140778,0.000930167,0.0012078,0.000336382,0.000127253,0.00106542,0.00488813,0.000804958,0.000465122,9.11e-08
"cerebr",8.42e-08,4.89e-05,1.32e-07,0.000139025,2.16e-08,3.9e-08,1.51e-07,1.01e-07,0.003139,0.00176859,3e-08,4.77e-08,5.81e-08,0.000168235,0.00010279,0.000295448,8.7e-08,7.12e-08,0.000343796,9.11e-08
"cerebrospin",8.42e-08,9.76e-08,0.000370844,0.000148722,0.000112333,3.9e-08,1.51e-07,0.000171071,0.00535127,6.75e-08,3e-08,4.77e-08,5.81e-08,0.000362932,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"cesarean",0.000109511,9.76e-08,1.32e-07,0.000274786,2.16e-08,3.9e-08,1.51e-07,0.00344968,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,0.000416031,4.89e-08,0.000449442,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"chest",0.030665,9.76e-08,1.32e-07,0.00115723,2.16e-08,3.9e-08,1.51e-07,0.000402384,0.000601153,0.00214659,3e-08,4.77e-08,5.81e-08,0.00111517,4.89e-08,0.0106162,0.00200923,0.000790712,0.0018725,9.11e-08
"chilblain",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,0.00269655,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"children",0.00518525,5.87e-05,1.32e-07,0.000685299,0.00401514,0.000991218,1.51e-07,0.00598406,0.00474186,0.000641325,0.00729037,0.000104984,0.000679412,0.00334533,0.00182493,0.00333447,8.7e-08,0.000434568,0.00375709,9.11e-08
"chloroquin",8.42e-08,0.0056333,0.000635638,3.23e-08,0.00113825,0.00133852,1.51e-07,0.000744325,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,1.57e-05,0.0116722,7.12e-08,0.00139933,0.000100282
"cinahl",8.42e-08,9.76e-08,7.96e-05,3.23e-08,0.000101533,3.9e-08,1.51e-07,0.00331894,0.000100262,6.75e-08,0.000194719,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"ck-mb",8.42e-08,9.76e-08,1.32e-07,3.23e-08,1.3e-05,3.9e-08,0.00182766,0.000171071,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"clade",8.42e-08,9.76e-08,1.32e-07,3.23e-08,6.27e-05,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,7.19e-05,4.77e-08,5.81e-08,0.000247884,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,0.00212232
"cleavag",8.42e-08,0.00224557,1.32e-07,3.23e-08,7.56e-05,0.000448801,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,0.00192193
"clinicaltri",8.42e-08,0.000302748,0.000238447,0.000310342,2.16e-08,0.000140521,1.51e-07,0.000704096,0.000317315,6.82e-06,0.000296556,4.77e-08,5.81e-08,8.85e-08,0.000313166,0.00101513,0.00687988,0.00012116,4.04e-08,9.11e-08
"clinician",0.00175934,0.000400377,1.32e-07,0.00504903,0.00450326,3.9e-08,0.00193338,0.00109632,0.00328092,0.00208584,0.00363921,0.00118774,5.81e-08,0.000495679,0.000743702,0.000568866,0.00242671,0.00121096,0.00176735,9.11e-08
"close",0.00104385,0.000663976,1.32e-07,0.00100854,0.00358749,0.000214664,1.51e-07,1.01e-07,8.35e-08,6.75e-08,0.00124304,0.00163133,0.00273489,0.000557628,0.000831766,3.14e-08,8.7e-08,0.00339057,0.0034376,0.000801618
"closur",8.42e-08,9.76e-08,1.32e-07,0.000501053,0.000194406,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,0.00266277,0.0011305,0.00178264,0.000132836,0.000533326,3.14e-08,8.7e-08,5.71e-05,4.04e-08,9.11e-08
"clot",0.000117929,9.76e-08,1.32e-07,3.23e-08,7.99e-05,0.000249785,1.51e-07,1.01e-07,8.35e-08,0.00258535,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"cloth",8.42e-08,9.76e-08,9.28e-05,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,0.000100214,5.81e-08,8.85e-08,0.000254456,3.14e-08,8.7e-08,0.0022794,4.04e-08,9.11e-08
"cn",8.42e-08,9.76e-08,1.32e-07,3.23e-08,0.000239762,3.9e-08,1.51e-07,1.01e-07,0.005944,6.75e-08,0.000110853,4.77e-08,5.23e-05,8.85e-08,4.89e-08,9.43e-05,0.0003132,7.12e-08,0.000679464,0.000546587
"cnki",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,0.000876146,0.00337928,7.52e-05,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000317447,8.7e-08,7.12e-08,0.000214382,9.11e-08
